Team 1,Team 2,Winner,Win Margin,Ground,Match Date
Kenya,South Africa,South Africa,10 wickets,"North West Cricket Stadium, Potchefstroom",2003-02-12
India,Netherlands,India,68 runs,"Boland Bank Park, Paarl",2003-02-12
Zimbabwe,England,Zimbabwe,Walkover,Harare Sports Club,2003-02-13
New Zealand,West Indies,New Zealand,20 runs,"St George's Park, Port Elizabeth",2003-02-13
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,"City Oval, Pietermaritzburg",2003-02-14
India,Australia,Australia,9 wickets,"SuperSport Park, Centurion",2003-02-15
Canada,Kenya,Kenya,4 wickets,"Newlands, Cape Town",2003-02-15
Netherlands,England,England,6 wickets,"Buffalo Park, East London",2003-02-16
Pakistan,Namibia,Pakistan,171 runs,"De Beers Diamond Oval, Kimberley",2003-02-16
South Africa,New Zealand,New Zealand,9 wickets,"New Wanderers Stadium, Johannesburg",2003-02-16
West Indies,Bangladesh,No Result,,"Willowmoore Park, Benoni",2003-02-18
India,Zimbabwe,India,83 runs,Harare Sports Club,2003-02-19
Canada,Sri Lanka,Sri Lanka,9 wickets,"Boland Bank Park, Paarl",2003-02-19
England,Namibia,England,55 runs,"St George's Park, Port Elizabeth",2003-02-19
Australia,Netherlands,Australia,75 runs,"North West Cricket Stadium, Potchefstroom",2003-02-20
Kenya,New Zealand,Kenya,Walkover,"Gymkhana Club Ground, Nairobi",2003-02-21
Bangladesh,South Africa,South Africa,10 wickets,"Goodyear Park, Bloemfontein",2003-02-22
England,Pakistan,England,112 runs,"Newlands, Cape Town",2003-02-22
Canada,West Indies,West Indies,7 wickets,"SuperSport Park, Centurion",2003-02-23
India,Namibia,India,181 runs,"City Oval, Pietermaritzburg",2003-02-23
Kenya,Sri Lanka,Kenya,53 runs,"Gymkhana Club Ground, Nairobi",2003-02-24
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
India,Bangladesh,India,87 runs,"Shere Bangla National Stadium, Mirpur",2011-02-19
Kenya,New Zealand,New Zealand,10 wickets,"MA Chidambaram Stadium, Chepauk, Chennai",2011-02-20
Sri Lanka,Canada,Sri Lanka,210 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2011-02-20
Australia,Zimbabwe,Australia,91 runs,"Sardar Patel Stadium, Motera, Ahmedabad",2011-02-21
Netherlands,England,England,6 wickets,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2011-02-22
Pakistan,Kenya,Pakistan,205 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2011-02-23
West Indies,South Africa,South Africa,7 wickets,"Feroz Shah Kotla, Delhi",2011-02-24
New Zealand,Australia,Australia,7 wickets,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2011-02-25
